Project,Client,Description,Task,User,Group,Email,Tags,Billable,Start Date,Start Time,End Date,End Time,Duration (h),Duration (decimal),Billable Rate (USD),Billable Amount (USD)
tawfwrhgql,xvunazspuo,,,nvmbf,,nvmbf@example.com,,Yes,04/12/2023,01:52:26 PM,04/12/2023,08:21:26 PM,6:29:00,6.48,130.09,0.0
pfzmoqiebk,hnanxjfzvn,,,fvrqt,,fvrqt@sample.com,,No,08/04/2023,02:16:49 AM,08/04/2023,09:30:49 AM,7:14:00,7.23,87.43,0.0
jojdmhunlk,yepttpkgqq,,,ujbif,,ujbif@sample.com,,No,05/10/2023,06:57:44 PM,05/11/2023,01:03:44 AM,6:06:00,6.1,166.13,0.0
jhizsazqil,iurnplyitr,,,nhqvg,,nhqvg@example.com,,No,06/11/2023,06:26:55 AM,06/11/2023,07:15:55 AM,0:49:00,0.82,34.94,28.65
nbvpsvebsv,nxfghaawcp,hivlgbuazqsaabdqrqut,,xqrfg,,xqrfg@sample.com,,Yes,01/06/2023,11:27:02 AM,01/06/2023,12:40:02 PM,1:13:00,1.22,171.58,209.33
xkhpjkiopc,bvqmbpbbwg,xmwmjivlqadnwpqprndx,,kmcaw,,kmcaw@example.com,,No,11/06/2023,01:28:49 PM,11/06/2023,06:36:49 PM,5:08:00,5.13,162.76,0.0
qlabrvdtwr,skkdwjsxxn,nnsmgyzkndcigkkkqpcl,,valvq,,valvq@example.com,,No,09/19/2023,08:41:07 PM,09/19/2023,09:55:07 PM,1:14:00,1.23,62.52,0.0
hnpjgbohte,eejgfihwkg,,,xffye,,xffye@sample.com,,Yes,05/21/2023,05:37:02 AM,05/21/2023,10:35:02 AM,4:58:00,4.97,129.05,641.38
atndvmyksu,gamseyesyd,,,yvfjn,,yvfjn@example.com,,Yes,12/30/2023,12:31:04 AM,12/30/2023,08:00:04 AM,7:29:00,7.48,62.0,463.76
dfestrbfdv,pachizpdeo,manbzmqcqqpjjjyrxnle,,ttsue,,ttsue@example.com,,Yes,01/24/2023,03:52:02 PM,01/24/2023,04:40:02 PM,0:48:00,0.8,32.87,26.3
mlqjqranma,yaxelscush,,,lqkrx,,lqkrx@example.com,,Yes,03/30/2023,09:10:15 AM,03/30/2023,11:43:15 AM,2:33:00,2.55,10.93,27.87
jfxghwsnsj,maikvzmydg,rygrgxvhpivknrmsdhjv,,qjfgf,,qjfgf@demo.com,,No,09/17/2023,03:36:02 PM,09/17/2023,08:14:02 PM,4:38:00,4.63,136.22,630.7
vljctrftuj,sqsaveegtb,bdvkdwxdcfrbqfqnlmhd,,waaay,,waaay@example.com,,No,06/18/2023,01:54:38 AM,06/18/2023,08:18:38 AM,6:24:00,6.4,9.41,60.22
shxfhjgkhy,qwyxpdunnk,nuwzuxhnlcrsfeuvpeth,,zzvvp,,zzvvp@demo.com,,Yes,03/16/2023,12:50:32 AM,03/16/2023,03:41:32 AM,2:51:00,2.85,94.11,0.0
ahlrxvqvca,vakkoonlrx,sykivlhgwrdtfdqawarq,,xtntu,,xtntu@example.com,,Yes,11/28/2023,02:25:12 PM,11/28/2023,07:28:12 PM,5:03:00,5.05,101.55,512.83
phwolctptq,phxfgrxgto,,,ehgar,,ehgar@demo.com,,No,10/18/2023,04:45:44 PM,10/19/2023,12:13:44 AM,7:28:00,7.47,193.64,1446.49
oxbjlgshqf,mywxcikmxg,vngeevcfymptxxufzyke,,mwwnj,,mwwnj@example.com,,Yes,04/05/2023,02:22:35 PM,04/05/2023,05:03:35 PM,2:41:00,2.68,21.85,58.56
fcihxkfswq,yamjisgjpq,dpgysodvcstlqetkuejo,,qrtde,,qrtde@sample.com,,No,05/28/2023,04:57:16 AM,05/28/2023,09:43:16 AM,4:46:00,4.77,98.03,467.6
qjojzqaanc,sjdbdrrfcf,,,aqall,,aqall@demo.com,,No,12/21/2023,04:35:25 PM,12/21/2023,11:25:25 PM,6:50:00,6.83,99.34,0.0
qajfevolee,ztcrvnnddm,ffbvmctkhcstllkcvhhx,,tjyod,,tjyod@sample.com,,No,11/10/2023,06:51:07 PM,11/10/2023,07:08:07 PM,0:17:00,0.28,120.45,0.0
vvazlyqljn,ugdxfjuzni,tnbzzozzflvlubcxvadc,,qrkko,,qrkko@demo.com,,No,02/21/2023,12:38:24 AM,02/21/2023,05:49:24 AM,5:11:00,5.18,158.94,823.31
hisbqqxlnm,fzyqfspwtb,,,rtppp,,rtppp@example.com,,No,10/16/2023,08:49:58 PM,10/17/2023,01:07:58 AM,4:18:00,4.3,175.45,754.43
bdzhovejae,qcajvkcuub,,,dteuw,,dteuw@sample.com,,No,02/20/2023,05:05:11 AM,02/20/2023,10:31:11 AM,5:26:00,5.43,16.25,88.24
lbmdcjfqgz,jevsgwydfw,,,buhmy,,buhmy@demo.com,,No,08/19/2023,03:27:21 AM,08/19/2023,07:50:21 AM,4:23:00,4.38,74.38,0.0
awfpradzvh,vboutkqibm,evgddqlvdavevnmovyab,,yyhix,,yyhix@demo.com,,No,12/28/2023,02:06:33 PM,12/28/2023,04:03:33 PM,1:57:00,1.95,127.29,0.0
bmdmiegvqq,ojjqxsrrqz,isnvimowbeuajdogeccj,,yjqyc,,yjqyc@example.com,,No,11/19/2023,12:33:53 AM,11/19/2023,06:47:53 AM,6:14:00,6.23,37.34,232.63
oyzoijstfm,pntamybwut,duxaeroggqtawsizekeg,,jvyym,,jvyym@example.com,,No,05/02/2023,02:44:44 AM,05/02/2023,05:24:44 AM,2:40:00,2.67,66.2,176.75
hfrurtsvqz,ynrpyqltgr,cyuajpnbsoncosmdlrjd,,hiajy,,hiajy@example.com,,No,07/19/2023,09:16:58 PM,07/20/2023,12:13:58 AM,2:57:00,2.95,164.43,0.0
eonvmzylls,ziipvvxmvx,mulllzgzbdpszjmjyney,,vdmdl,,vdmdl@example.com,,Yes,06/25/2023,07:07:08 PM,06/25/2023,10:00:08 PM,2:53:00,2.88,40.38,116.29
qqiwhrmxwv,thmouadvpl,didqgoklkkmhxkgshwcx,,bvenk,,bvenk@example.com,,Yes,02/19/2023,05:59:40 PM,02/19/2023,08:19:40 PM,2:20:00,2.33,114.02,265.67
qywrurgfpo,siianvdjsx,knwkcnyqvkelbfgqxlad,,ivxoo,,ivxoo@sample.com,,Yes,03/13/2023,12:17:39 AM,03/13/2023,08:14:39 AM,7:57:00,7.95,40.8,0.0
zyhtpzoecl,dndhvngnrb,tbtftukxguvdvjhjmlya,,wnrah,,wnrah@sample.com,,Yes,06/10/2023,01:43:08 PM,06/10/2023,06:44:08 PM,5:01:00,5.02,139.9,0.0
upctuztjyn,kghqfkplhq,,,wnkya,,wnkya@sample.com,,Yes,01/26/2023,09:05:07 PM,01/27/2023,01:04:07 AM,3:59:00,3.98,88.67,0.0
rwreikqrgx,oxnpfbkepv,,,retjq,,retjq@demo.com,,Yes,02/10/2023,12:02:52 PM,02/10/2023,12:46:52 PM,0:44:00,0.73,145.04,0.0
qciqsxeakr,ccibbqefyx,,,skqmk,,skqmk@example.com,,No,03/21/2023,08:32:30 AM,03/21/2023,12:38:30 PM,4:06:00,4.1,40.11,164.45
ybreaxlzfy,embddchhep,,,qcrnq,,qcrnq@sample.com,,Yes,11/18/2023,06:34:36 PM,11/18/2023,09:59:36 PM,3:25:00,3.42,116.13,397.16
qilesvgmwx,cykvitbfsf,,,jwtvp,,jwtvp@demo.com,,Yes,07/11/2023,05:48:42 AM,07/11/2023,07:46:42 AM,1:58:00,1.97,76.06,0.0
yivutipskt,luldwekhfh,,,ioriv,,ioriv@demo.com,,Yes,05/19/2023,03:02:25 AM,05/19/2023,10:35:25 AM,7:33:00,7.55,141.35,1067.19
bkxtvzedrq,cjuxnihstt,jhbvxngcqvkfxtnvivht,,mdqba,,mdqba@sample.com,,No,02/01/2023,03:42:29 AM,02/01/2023,05:34:29 AM,1:52:00,1.87,54.45,0.0
hsjyuwdbbx,vkzqewdklq,,,kjyma,,kjyma@example.com,,No,08/10/2023,12:58:29 PM,08/10/2023,05:09:29 PM,4:11:00,4.18,165.44,691.54
gajtkuejxr,apslfraiqe,rkgwprzxabzvwtliiavd,,jbivq,,jbivq@sample.com,,Yes,06/11/2023,11:17:15 PM,06/12/2023,03:13:15 AM,3:56:00,3.93,150.81,592.68
daanvqtarz,mjkclxcdvl,xfksowdxnaamakqqfubq,,keuar,,keuar@example.com,,No,08/13/2023,10:22:55 AM,08/13/2023,03:13:55 PM,4:51:00,4.85,135.14,655.43
xdeyxzaglb,mgrcixgpyw,,,cclbr,,cclbr@sample.com,,No,08/04/2023,02:49:39 AM,08/04/2023,10:13:39 AM,7:24:00,7.4,195.39,1445.89
uywmhocrrh,mqrvtzuygc,usehtxvexcrucsqfeyyc,,yzgvo,,yzgvo@example.com,,Yes,08/10/2023,05:39:34 PM,08/10/2023,07:49:34 PM,2:10:00,2.17,3.95,0.0
dbjlyptkpv,wbdluiepey,,,rjkot,,rjkot@demo.com,,Yes,01/27/2023,06:17:02 PM,01/27/2023,08:16:02 PM,1:59:00,1.98,180.42,0.0
wvwmuywzuj,wrtcssjbex,,,uqini,,uqini@sample.com,,No,03/13/2023,03:02:00 PM,03/13/2023,09:39:00 PM,6:37:00,6.62,84.31,0.0
wegotfjwds,hfdwztnubo,rbslkkwtntwjjohlzlqh,,agwoh,,agwoh@demo.com,,No,02/09/2023,04:07:57 AM,02/09/2023,04:11:57 AM,0:04:00,0.07,81.94,5.74
akmmftcohc,mgqywbbfni,,,vdvjl,,vdvjl@demo.com,,No,01/08/2023,05:53:38 AM,01/08/2023,11:46:38 AM,5:53:00,5.88,85.29,501.51
aofibsxdpz,yjcwfpftgr,oowfoyfvowtfimrfjrnr,,rymmz,,rymmz@example.com,,No,08/07/2023,06:08:36 AM,08/07/2023,12:54:36 PM,6:46:00,6.77,22.12,149.75
bwnttvmqmu,cdgenqbhgl,,,rcpns,,rcpns@demo.com,,Yes,03/23/2023,03:58:48 PM,03/23/2023,07:41:48 PM,3:43:00,3.72,90.8,337.78
fbybgggsfq,hfgrgnanin,,,bywpm,,bywpm@example.com,,Yes,01/31/2023,03:46:41 AM,01/31/2023,05:28:41 AM,1:42:00,1.7,104.11,0.0
dodbmabocc,wdttsukmxw,llmhtlxrhtgaytobaxzk,,ejaci,,ejaci@demo.com,,Yes,09/05/2023,12:24:47 AM,09/05/2023,07:25:47 AM,7:01:00,7.02,60.44,424.29
iisiovsrtr,kuuhctusub,,,pusyn,,pusyn@sample.com,,Yes,10/29/2023,04:21:11 PM,10/30/2023,12:20:11 AM,7:59:00,7.98,191.88,1531.2
okahlwvasg,xykvugzemu,uxjxreunygjdipukpwyz,,umezr,,umezr@demo.com,,No,06/02/2023,12:01:37 PM,06/02/2023,06:34:37 PM,6:33:00,6.55,20.43,133.82
fwfmqnfxtt,ovojiohhag,bomvyybqdapfrepdqfoh,,znmgm,,znmgm@example.com,,Yes,02/02/2023,03:30:47 PM,02/02/2023,09:56:47 PM,6:26:00,6.43,110.08,0.0
vavqazlmbb,xwxlvyjfud,szdbhtcbvdeccvywgpju,,wbioo,,wbioo@example.com,,Yes,08/20/2023,12:53:23 AM,08/20/2023,05:30:23 AM,4:37:00,4.62,58.53,0.0
nbwmcwzagh,uxkxkainwr,nevpzyiydwgyxwtmrcyx,,bmfjq,,bmfjq@demo.com,,Yes,03/12/2023,03:31:48 PM,03/12/2023,09:21:48 PM,5:50:00,5.83,45.11,0.0
fgpmgstddk,dxgttrcdpz,xivzxfoyggwvwmjvsjds,,wtovr,,wtovr@example.com,,No,03/21/2023,04:25:34 PM,03/21/2023,05:44:34 PM,1:19:00,1.32,89.77,0.0
leqxhhbnml,fbexlfxwfj,masuybsmduzcxivvkvov,,whyjb,,whyjb@example.com,,Yes,02/13/2023,11:03:25 PM,02/14/2023,04:22:25 AM,5:19:00,5.32,86.07,457.89
gpvinmytyp,bazjkjdyjw,,,pbvgk,,pbvgk@example.com,,No,12/02/2023,10:12:39 AM,12/02/2023,04:02:39 PM,5:50:00,5.83,126.41,736.97
okjinwukao,mtkymurnqv,smzdcrocaavxgwqxamcp,,htmfw,,htmfw@sample.com,,Yes,05/25/2023,12:06:09 PM,05/25/2023,05:48:09 PM,5:42:00,5.7,157.41,897.24
ufkigciugr,newwncqkbz,,,xnsqp,,xnsqp@sample.com,,Yes,12/25/2023,12:35:35 AM,12/25/2023,04:21:35 AM,3:46:00,3.77,116.89,0.0
tkgellhvdl,azwnijihki,,,jwqsf,,jwqsf@demo.com,,No,08/04/2023,01:29:34 AM,08/04/2023,06:43:34 AM,5:14:00,5.23,192.46,0.0
ldjcyeftcz,rbgerwyska,,,qcmcq,,qcmcq@example.com,,Yes,07/31/2023,02:38:56 AM,07/31/2023,08:01:56 AM,5:23:00,5.38,132.32,711.88
bmugfrgnon,wybxhwptjg,,,gsrde,,gsrde@example.com,,No,12/05/2023,07:32:27 PM,12/06/2023,03:32:27 AM,8:00:00,8.0,106.31,0.0
cnbwpdmkld,ocgxipgoza,bniejxzqzstkbbwnzfgr,,aawde,,aawde@sample.com,,Yes,06/02/2023,02:11:25 PM,06/02/2023,07:11:25 PM,5:00:00,5.0,77.92,0.0
zgidrsosdc,tryjlkjuth,daieiksuqisvvoccxwpm,,jagez,,jagez@sample.com,,No,02/12/2023,08:11:38 PM,02/13/2023,12:03:38 AM,3:52:00,3.87,95.99,0.0
uhlswssbhv,gnqqofvonp,hfmlehjfavnagmdchclv,,domiy,,domiy@sample.com,,Yes,10/23/2023,03:17:51 PM,10/23/2023,05:46:51 PM,2:29:00,2.48,115.12,0.0
hfghdrzahw,ooimsyavav,,,jszlx,,jszlx@demo.com,,No,09/28/2023,05:16:20 PM,09/29/2023,12:37:20 AM,7:21:00,7.35,168.42,0.0
gwqxnxhfwi,qalvxudmur,,,bwwvm,,bwwvm@example.com,,Yes,03/16/2023,10:37:12 PM,03/17/2023,04:02:12 AM,5:25:00,5.42,144.0,0.0
zfpugzjzra,vtxvawpjxs,sbxdzvduxknwisjlnsvn,,uvrzx,,uvrzx@sample.com,,Yes,12/10/2023,08:16:47 AM,12/10/2023,09:53:47 AM,1:37:00,1.62,47.36,0.0
iwvjetxask,bbzdrigutz,skootgavcdoxoeuussps,,lvnkm,,lvnkm@example.com,,Yes,04/17/2023,01:35:00 PM,04/17/2023,02:59:00 PM,1:24:00,1.4,57.28,0.0
vlwowybsyt,hlzdmpqehl,,,tzrmn,,tzrmn@sample.com,,Yes,12/30/2023,11:46:23 AM,12/30/2023,04:53:23 PM,5:07:00,5.12,10.75,55.04
wieaeeqdsf,vuouwrcuxq,wqwmkzggffmdarhfitol,,ynkcg,,ynkcg@demo.com,,Yes,04/26/2023,09:41:45 PM,04/27/2023,03:25:45 AM,5:44:00,5.73,32.57,0.0
teyleiztun,olslnlbwtk,kpnjzxaohngntlhoaplc,,mhydc,,mhydc@example.com,,Yes,08/20/2023,05:10:24 AM,08/20/2023,01:05:24 PM,7:55:00,7.92,45.23,358.22
zbzfldryqw,rvtltslcmx,edzykiijedtrfvdpmsll,,zvzgc,,zvzgc@demo.com,,No,08/14/2023,11:26:34 PM,08/15/2023,03:54:34 AM,4:28:00,4.47,75.68,0.0
